file_name,plate_x,plate_z,sz_top,sz_bot,release_speed,effective_speed,release_spin_rate,release_pos_x,release_pos_y,release_pos_z,release_extension,pfx_x,pfx_z,stand,p_throws,pitch_class,zone
pitch1.mp4,1.24,3.32,3.52,1.57,93.7,92.5,2300.0,-1.35,54.79,5.87,5.7,-0.75,1.31,R,R,ball,12.0
pitch3.mp4,-0.51,2.26,3.88,1.91,95.1,95.1,2412.0,2.14,54.06,6.35,6.4,0.83,1.57,R,L,strike,7.0
pitch4.mp4,0.9,3.92,3.16,1.47,94.7,98.0,2471.0,2.37,52.39,6.08,8.1,0.81,1.39,R,L,ball,12.0
pitch5.mp4,0.84,1.04,3.65,1.82,92.4,92.5,2256.0,-1.94,54.13,6.03,6.4,-0.78,1.3,R,R,ball,14.0
pitch8.mp4,0.02,1.8,3.47,1.63,93.5,93.9,2319.0,2.94,53.68,5.84,6.8,0.59,1.59,R,L,strike,8.0
pitch14.mp4,0.31,3.29,3.37,1.6,96.1,97.2,2329.0,-1.51,53.59,5.85,6.9,-0.67,1.35,R,R,strike,3.0
pitch17.mp4,0.33,2.21,3.41,1.63,97.6,98.8,2387.0,-1.48,53.54,6.26,7.0,-0.88,1.54,R,R,strike,6.0
pitch18.mp4,0.03,3.77,3.6,1.72,93.5,95.0,2332.0,-2.25,53.42,5.86,7.1,-1.02,1.31,L,R,ball,12.0
pitch19.mp4,-1.53,3.43,3.4,1.55,95.2,96.2,2145.0,-2.1,53.56,4.83,6.9,-1.38,0.71,R,R,ball,11.0
pitch20.mp4,0.28,2.71,3.15,1.52,94.2,92.9,2017.0,1.57,54.68,6.09,5.8,0.85,1.44,R,L,strike,3.0
pitch21.mp4,0.1,1.6,3.31,1.62,95.0,97.2,2122.0,-1.31,52.86,5.67,7.6,-0.48,1.37,R,R,strike,8.0
pitch23.mp4,-1.75,2.26,3.45,1.67,92.4,92.2,2039.0,1.79,54.21,6.13,6.3,0.19,1.07,R,L,ball,13.0
pitch24.mp4,-0.7,2.09,3.3,1.52,91.7,92.5,2461.0,-1.81,53.99,5.61,6.5,-0.63,1.04,L,R,strike,4.0
pitch26.mp4,0.33,2.43,3.6,1.69,95.5,95.1,2539.0,-2.4,54.23,5.51,6.3,-0.96,1.53,L,R,strike,6.0
pitch27.mp4,-0.56,3.53,3.6,1.64,92.4,92.0,2090.0,-2.42,54.35,6.02,6.1,-0.25,1.2,R,R,strike,1.0
pitch28.mp4,0.61,3.89,3.51,1.79,92.0,92.4,2526.0,-0.97,53.89,5.67,6.6,0.04,1.35,L,R,ball,12.0
pitch30.mp4,1.19,2.36,3.37,1.69,92.9,92.8,2350.0,-0.21,54.06,6.35,6.4,-0.61,1.69,R,R,ball,14.0
pitch31.mp4,0.97,1.13,3.62,1.7,93.3,93.8,2249.0,-0.36,53.66,6.25,6.8,-0.67,1.53,R,R,ball,14.0
pitch33.mp4,0.08,3.66,3.61,1.55,95.9,95.5,2169.0,-0.93,54.22,5.57,6.3,-0.53,1.43,R,R,strike,2.0
pitch36.mp4,1.27,3.23,3.32,1.58,95.8,96.8,2441.0,-1.04,53.52,5.78,7.0,-0.69,1.66,R,R,ball,12.0
pitch41.mp4,-0.49,2.65,3.46,1.69,92.9,92.8,2648.0,-3.3,54.58,5.11,5.9,-0.89,0.94,R,R,strike,4.0
pitch43.mp4,1.27,1.61,3.59,1.74,90.1,90.4,2145.0,-1.65,54.03,5.29,6.5,-1.31,1.24,L,R,ball,14.0
pitch44.mp4,0.83,3.19,3.28,1.59,92.0,92.6,2281.0,-2.22,53.49,4.66,7.0,-1.06,1.22,L,R,strike,3.0
pitch45.mp4,-0.7,3.88,3.46,1.63,91.4,92.9,2233.0,-0.92,53.27,5.24,7.2,-0.49,1.41,L,R,ball,11.0
pitch48.mp4,-0.65,3.15,3.45,1.65,95.4,95.2,2394.0,-1.56,53.86,6.1,6.6,-0.9,1.37,L,R,strike,1.0
pitch50.mp4,-0.22,4.21,3.34,1.52,92.3,92.1,2218.0,-1.48,54.43,5.78,6.1,-0.4,1.29,R,R,ball,11.0
pitch51.mp4,-1.47,3.4,3.6,1.66,96.1,97.7,2214.0,-2.36,53.43,5.83,7.1,-1.08,1.22,L,R,ball,11.0
pitch52.mp4,1.25,1.59,3.61,1.75,93.7,93.4,2376.0,-1.39,54.1,5.5,6.4,-0.72,1.41,L,R,ball,14.0
pitch54.mp4,2.69,0.49,3.44,1.64,92.1,92.5,2193.0,-2.7,53.87,6.04,6.6,-0.04,0.15,R,R,ball,14.0
pitch55.mp4,0.17,3.45,3.49,1.67,89.0,89.6,2006.0,1.66,54.0,5.67,6.5,0.67,1.19,L,L,strike,2.0
pitch56.mp4,-0.02,2.11,3.4,1.72,92.6,92.2,2337.0,-3.9,54.17,5.09,6.3,-1.22,1.01,R,R,strike,8.0
pitch58.mp4,-0.08,1.79,3.58,1.6,94.2,95.1,2347.0,-2.26,53.4,5.41,7.1,-0.91,1.23,R,R,strike,8.0
pitch61.mp4,0.09,2.35,3.38,1.62,95.1,96.2,2391.0,-2.19,53.58,6.32,6.9,-0.69,1.13,L,R,strike,5.0
pitch64.mp4,0.95,2.57,3.54,1.72,93.9,94.8,2316.0,-1.14,53.86,6.39,6.6,-0.4,1.29,L,R,ball,14.0
pitch65.mp4,0.23,2.08,3.35,1.68,93.1,94.7,2315.0,-1.1,53.27,5.89,7.2,-0.68,1.39,R,R,strike,8.0
pitch67.mp4,-0.55,2.49,3.7,1.71,91.2,89.7,2181.0,-1.38,54.92,6.19,5.6,-0.63,1.44,R,R,strike,4.0
pitch68.mp4,-0.43,3.69,3.24,1.57,95.5,97.1,2404.0,-1.06,53.42,5.19,7.1,-0.8,1.43,L,R,ball,11.0
pitch69.mp4,0.31,2.03,3.42,1.64,94.4,95.9,2595.0,-1.76,53.45,5.56,7.0,-0.51,1.23,R,R,strike,9.0
pitch70.mp4,-0.14,2.67,3.27,1.54,96.9,98.0,2255.0,-1.42,53.46,6.3,7.0,-0.51,1.53,L,R,strike,5.0
pitch71.mp4,0.4,2.43,3.28,1.58,99.6,98.9,2191.0,-2.35,54.12,6.17,6.4,-0.86,1.29,L,R,strike,6.0
pitch74.mp4,-1.15,1.59,3.67,1.72,88.7,88.3,2258.0,1.62,54.3,6.35,6.2,0.51,1.57,R,L,ball,13.0
pitch75.mp4,1.36,3.47,3.51,1.61,95.3,96.0,2328.0,-1.03,53.6,5.89,6.9,-0.36,1.7,R,R,ball,12.0
pitch76.mp4,-1.6,4.0,3.5,1.7,93.4,92.5,2156.0,-1.68,54.48,6.27,6.0,-0.99,1.26,L,R,ball,11.0
pitch77.mp4,-0.69,4.03,3.48,1.61,95.3,93.7,2295.0,2.31,54.58,6.02,5.9,0.94,1.44,R,L,ball,11.0
pitch80.mp4,0.73,2.96,3.02,1.34,97.8,98.2,2336.0,-1.59,53.9,6.27,6.6,-0.92,1.27,R,R,strike,3.0
pitch81.mp4,0.34,3.79,3.28,1.63,90.5,89.6,2231.0,-1.49,54.44,5.87,6.1,-0.48,1.72,R,R,ball,12.0
pitch82.mp4,-0.97,3.02,3.28,1.66,92.5,92.7,2072.0,1.28,54.0,4.92,6.5,0.92,1.27,R,L,ball,11.0
pitch84.mp4,-0.65,2.56,3.53,1.62,90.6,90.4,2278.0,-2.4,54.4,5.56,6.1,-0.61,1.26,L,R,strike,4.0
pitch85.mp4,1.08,2.37,2.75,1.07,96.2,97.2,2734.0,-1.33,53.63,5.98,6.9,-0.55,1.52,L,R,ball,12.0
pitch86.mp4,1.1,1.99,3.44,1.54,94.7,94.7,2192.0,-0.65,53.87,6.15,6.6,-0.81,1.55,L,R,ball,14.0
pitch87.mp4,0.83,2.1,3.85,1.86,96.3,97.0,2003.0,-1.14,53.71,5.59,6.8,-0.61,1.33,R,R,strike,9.0
pitch88.mp4,0.29,1.57,3.43,1.59,92.4,92.5,2398.0,-1.49,53.95,5.7,6.5,-0.75,1.47,L,R,strike,9.0
pitch89.mp4,-1.2,3.21,3.23,1.52,96.8,96.9,2257.0,-2.1,54.18,5.42,6.3,-0.79,1.16,L,R,ball,11.0
pitch90.mp4,-0.11,5.08,3.63,1.75,97.5,97.4,2363.0,-1.74,54.24,5.7,6.3,-0.38,1.39,L,R,ball,11.0
pitch91.mp4,-1.59,2.21,3.62,1.69,95.7,96.7,2209.0,-2.28,53.34,5.44,7.2,-0.74,1.17,L,R,ball,13.0
pitch93.mp4,0.33,3.71,3.8,1.78,92.7,93.3,2225.0,2.14,54.03,6.02,6.5,-0.11,0.81,R,L,strike,3.0
pitch94.mp4,-0.73,3.6,3.14,1.49,91.9,90.7,2257.0,-1.6,54.85,5.86,5.6,-0.36,1.58,L,R,ball,11.0
pitch95.mp4,0.62,3.27,3.52,1.65,90.3,90.4,2242.0,1.61,53.98,5.67,6.5,0.17,1.17,R,L,strike,3.0
pitch96.mp4,0.46,3.59,3.86,1.81,92.2,93.0,2257.0,-1.19,53.72,6.08,6.8,-0.33,1.5,L,R,strike,3.0
pitch98.mp4,-0.38,2.22,3.63,1.7,94.0,92.9,2243.0,-2.69,54.61,5.92,5.9,-0.8,1.24,L,R,strike,7.0
pitch99.mp4,0.11,2.22,3.6,1.69,93.7,94.3,2241.0,1.63,53.74,6.26,6.8,0.29,1.52,R,L,strike,8.0
pitch101.mp4,0.21,2.38,3.25,1.48,96.1,95.9,2705.0,2.64,54.23,5.27,6.3,0.32,1.46,R,L,strike,5.0
